plotID,MDF,Med,CV,Skw,Lane,MDFAnnZer,MDFAnnUnder0.1,CVAnnZer,CVAnnUnder0.1,MDFMDFJanuary,MDFMDFFebruary,MDFMDFMarch,MDFMDFApril,MDFMDFMay,MDFMDFJune,MDFMDFJuly,MDFMDFAugust,MDFMDFSeptember,MDFMDFOctober,MDFMDFNovember,MDFMDFDecember,CVMDFJanuary,CVMDFFebruary,CVMDFMarch,CVMDFApril,CVMDFMay,CVMDFJune,CVMDFJuly,CVMDFAugust,CVMDFSeptember,CVMDFOctober,CVMDFNovember,CVMDFDecember,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,VarAnnHSNum,VarAnnHSPeak,VarAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,VarAnnLSPeak,VarAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,FFI,MDBF,CVAnnBFI,CVAnnFFI,CVAnnMDBF,P_MDFM,C_MDFM,M_MDFM,MA.3daysMaxMean,MA.7daysMaxMean,MA.30daysMaxMean,MA.90daysMaxMean,MA.3daysMinMean,MA.7daysMinMean,MA.30daysMinMean,MA.90daysMinMean,JDMaxMean,JDMinMean,PS1YrARI,PS2YrARI,PS5YrARI,AS10YrARI,AS20YrARI,category
1,48.871,4.262,4.407,11.467,0.699,17.533,31.8,2.072,1.557,0.566634609,1.339465122,1.150661947,1.90386937,1.29152258,1.605962636,0.84950175,0.757749995,0.675144769,0.546950134,0.889116245,0.478034008,2.256,2.035,1.417,2.028,1.52,1.699,1.584,2.201,1.77,2.622,1.989,1.703,21.01450758,4.419,4.133,0.654,0.509,0.38,2.033,1.428,0.886,0,9.2,2.033,2.022,3.317,1.277,0,4.855,4.969491109,1.891060138,0.744,0.959,0.002537292,0.017924741,0.309385934,0.483,0.069,0.915,0.139,0.055,0.084,92.20746455,48.42391193,15.03116368,7.299359538,0.007775572,0.009514845,0.029608561,0.156391316,3.391766078,6.708027255,48.5877105,178.136891,286.3619734,400.1856111,525.0233881,3
2,228.607,40,6.112,5.715,0.623,0,0.103,0,5.292,0.33169588,0.623541711,0.711684244,1.368444536,0.630098816,1.189386152,1.833299068,0.658969323,0.842157064,1.011023285,1.550206249,1.243111541,1.355,2.117,2.133,2.246,2.014,1.505,1.43,1.397,1.348,2.702,2.476,2.403,29.81145372,5.146,3.552,0.798,0.785,0.458,3.7,1.792,1.051,0.011290118,17.667,1.103,1.655,0.455,1.101,0.871,6.43,1.494359315,0.520657723,0.948,1.243,0.000940479,0.003433841,0.214695963,0.536,0.202,0.871,0.153,0.076,0.078,34.48575503,18.02020935,6.288753188,3.547082985,0.043323258,0.046477142,0.066655877,0.142178498,0.386899789,0.219923274,22.12746766,66.70020603,108.7258002,154.6764972,208.5875848,2
3,136.292,35.858,4.806,3.801,0.6,0,0,0,0,0.322241951,0.210936812,0.857233,0.73484137,1.221135503,2.461369706,1.139259824,0.775430693,0.97357145,1.421969008,1.198082059,0.70968949,1.027,0.852,1.275,0.979,1.262,0.527,1.002,0.672,1.031,1.295,1.267,1.651,24.56407566,5.048,3.588,0.806,0.67,0.717,1.75,2.369,1.296,0.010389458,15.9,1.294,2.1,0.284,0.551,0.563,1.163,0.966674493,0.336065213,1.147,0.978,0.002259854,0.005077334,0.308191236,0.413,0.24,0.735,0.21,0.09,0.119,27.29586476,15.23427641,5.585104041,3.001489449,0.084223579,0.090320782,0.117446365,0.170464884,2.054845479,0.076827693,22.4400992,51.68640126,82.49449711,135.3715772,181.6280339,2
4,87.047,16.766,5.066,5.192,0.651,4.233,8.8,3.287,2.108,0.738853723,1.263937873,1.661562145,1.252415362,1.021815801,1.641572943,0.93001482,0.550128092,0.375383414,0.596344504,0.73275357,1.255597551,1.64,1.485,1.782,1.838,1.995,2.32,1.366,1.862,1.243,2.613,1.545,1.994,22.34967317,4.765,3.833,0.744,0.772,0.52,2.4,2.044,1.567,0.001654279,24.909,0.8,2.947,0.999,0.783,2.902,2.079,1.204441279,0.385090813,1.176,1.464,0.002630763,0.008857284,0.228692545,0.443,0.161,0.635,0.132,0.068,0.064,30.08900939,17.12963112,5.947166473,3.022252346,0.028685653,0.030615644,0.041805002,0.096821257,2.00882282,3.579514515,20.48924144,52.8895769,83.8290234,116.8093903,166.3964525,3
5,536.678,124.56,5.33,4.309,0.669,3.6,5.1,3.342,2.487,0.66320028,1.245482394,1.589347803,1.133577303,0.959159869,1.819282698,1.215814697,0.650853957,0.437627404,0.551239291,0.680163897,1.073267397,1.677,1.647,1.741,1.984,1.957,2.793,1.936,1.689,1.126,2.594,1.526,2.052,22.84350952,5.373,3.4,0.827,1.065,0.651,2.367,2.566,1.665,0.002364546,26.143,0.733,2.081,1.38,0.481,62.435,0.875,1.204744745,0.374323151,1.17,1.335,0.000510548,0.001352766,0.273551366,0.456,0.23,0.73,0.158,0.091,0.067,27.07458849,16.1756584,5.590167661,2.915239678,0.063444002,0.066770019,0.082438632,0.142636739,0.156069375,0.59760974,11.4187278,47.49041325,85.03635327,122.5473263,202.4580773,3
6,440.991,139.07,3.577,3.171,0.631,0.933,2.159,3.867,2.244,0.493987406,1.203292131,1.967865557,1.412731779,1.121460529,1.639244338,0.581283972,0.773072466,0.463823525,0.821706112,0.805166092,0.531632165,1.022,2.101,1.014,1.321,1.265,1.629,1.358,2.451,1.714,2.094,1.154,1.214,18.08030549,5.519,3,0.77,0.654,0.842,2,1.405,2.241,0.008084065,20.5,1.067,1.858,0.879,0.884,1.569,3.021,0.547149488,0.231004714,0.917,0.938,0.000757385,0.001510235,0.333791393,0.236,0.128,0.788,0.251,0.11,0.141,23.7473123,14.23961487,4.741845072,2.58186675,0.066448068,0.073051377,0.104419365,0.179314317,0.163874093,0.806517593,18.00266899,33.47162641,52.05733224,93.23841983,126.1955414,2
7,118.597,77.484,1.313,1.531,0.374,0,0,0,0,0.575655371,0.437211734,0.475307133,0.467760567,0.560595968,0.926515848,1.11549196,1.190401106,1.762978827,1.944711924,1.422607654,1.021661593,0.499,0.777,0.762,0.767,0.645,1.099,0.851,0.548,0.484,0.453,0.493,0.855,5.684781234,3.301,5.593,0.562,0.43,0.619,1.68,0.94,1.907,0.121824329,9.018,2.037,1.404,0.174,0.608,0.431,1.834,0.400305235,0.191219002,0.43,0.482,0.00466285,0.003769067,0.553243337,0.137,0.175,0.407,0.459,0.307,0.153,8.033913168,5.385220537,2.946221237,2.088594147,0.202492475,0.214145383,0.257729959,0.32693913,2.143890655,0.731080887,4.871143452,11.27339646,17.68840696,23.60344697,30.54283835,1
8,344.931,204.152,1.193,1.69,0.41,0,0,0,0,0.494809107,0.43584659,0.383372327,0.322589156,0.387451403,0.71437186,1.347591257,1.938518138,2.252937544,1.776601697,1.088788772,0.82003937,0.491,1.14,1.125,0.56,0.527,0.621,0.685,0.468,0.527,0.674,0.564,0.599,5.988522342,6.524,2.8,0.842,0.305,0.806,2.4,0.896,1.665,0.125181558,13.725,1.367,1.716,0.148,0.682,0.339,1.325,0.196552354,0.070785172,0.549,0.42,0.00153364,0.00136549,0.529531993,0.18,0.225,0.361,0.463,0.276,0.187,6.02284225,4.708805529,3.003052784,2.310827383,0.202188264,0.207296532,0.229379209,0.277406206,0.655302075,0.250325427,5.187222952,7.489758821,10.53389229,14.44845781,17.93922263,1
9,293.696,156.344,1.324,1.879,0.485,0,0,0,0,0.435068915,0.371533831,0.321213091,0.257446475,0.334597679,0.655746078,1.314042411,2.048992836,2.36554805,1.901895157,1.155463472,0.797555976,0.583,1.403,1.353,0.743,0.685,0.722,0.697,0.542,0.543,0.687,0.607,0.657,6.482178852,5.768,3.167,0.77,0.399,0.826,2.033,0.92,1.559,0.066841224,13.366,1.433,1.667,0.209,0.556,0.474,1.03,0.263394803,0.088921878,0.562,0.482,0.001644558,0.001760324,0.48279854,0.195,0.201,0.41,0.396,0.191,0.206,6.500354108,5.052316,3.19983248,2.44997889,0.1331615,0.138782959,0.162617128,0.212784648,0.766098278,0.246911773,7.29588418,8.758617754,11.2959012,15.73924739,19.16928389,1
10,509.421,303.13,1.185,1.681,0.398,0,0,0,0,0.527650018,0.453059454,0.411826368,0.344408652,0.427734624,0.770989025,1.373227645,1.851376367,2.111636544,1.751001627,1.125403154,0.815150926,0.551,1.026,1.065,0.531,0.512,0.653,0.721,0.515,0.539,0.681,0.553,0.589,5.380620351,5.219,3.5,0.827,0.235,0.517,2.029,0.64,1.515,0.123200653,19.571,0.967,1.741,0.162,0.541,0.41,1.141,0.248419284,0.088600588,0.537,0.413,0.00108162,0.000881393,0.550813571,0.171,0.234,0.371,0.44,0.277,0.163,6.193123173,4.780755014,2.931459441,2.299320209,0.218777789,0.224319374,0.249390975,0.301565895,0.432810976,0.270962524,4.63983228,7.592875048,11.18260535,15.62053194,20.07711304,1
11,266.294,62.168,4.917,4.283,0.591,0.034,0.138,5.292,5.292,1.694071215,1.455969718,1.446915815,1.110190241,1.194705851,0.581778035,0.783566284,0.813702149,0.669301599,0.61464772,0.853684274,0.728022411,1.908,1.663,2.605,2.116,1.891,1.261,1.351,1.178,1.131,1.408,1.611,1.074,17.8173898,3.696,4.931,0.82,1.47,0.654,2.04,1.827,1.255,0.018918939,13.675,1.414,1.168,0.312,0.888,0.78,4.536,0.945507597,0.427625106,1.035,0.956,0.001092777,0.002662471,0.29107678,0.344,0.164,0.83,0.182,0.106,0.076,25.83880598,13.95489572,5.142887185,2.611309305,0.044007751,0.048998475,0.085161513,0.169568222,0.227774565,0.089089503,19.01051469,43.62824923,76.18472816,124.2362652,196.0393325,2
12,134.816,28.534,5.6,4.725,0.637,2.7,3.167,2.385,2.235,1.923384465,1.835153098,1.270998991,1.694153513,1.530545336,0.796478163,0.697076015,0.439354379,0.379220567,0.382743888,0.458543496,0.636623249,2.674,1.612,1.943,2.473,2.271,1.659,1.439,0.96,1.111,1.53,1.077,1.595,15.817581,3.703,4.933,0.841,1.226,0.738,3.171,2.406,2.444,0.007068894,10.148,1.933,1.394,0.558,0.654,1.473,0.94,0.977465583,0.465656895,0.987,1.02,0.002010147,0.00540737,0.270576193,0.411,0.194,0.905,0.184,0.103,0.081,28.78996558,16.94968698,5.860320733,2.760918585,0.050038571,0.056336043,0.091821446,0.150835212,0.536872478,2.469269226,6.445466413,32.92580258,73.08755637,109.8891378,187.5979706,2
13,119.756,5.15,5.675,23.254,0.899,57.8,69.267,1.377,1.262,1.709592839,2.035246668,1.571821036,2.160935569,1.646030262,0.932395872,0.699639267,0.264095327,0.164300745,0.194370219,0.187097097,0.497261098,1.725,1.401,1.48,2.227,2.173,1.839,1.795,2.072,2.305,3.707,1.599,2.136,24.53139717,3.806,4.867,0.727,0.671,0.441,2.044,1.894,1.157,0,61.929,1.1,1.335,NA,0.768,NA,2.142,1.872240222,0.800661345,0.806,0.973,0.001169044,0.007181269,0.139617222,0.585,0.086,0.975,0.229,0.136,0.093,34.73221383,19.44901299,6.523923645,3.089198036,0.005143792,0.006296135,0.012483717,0.037918768,0.618499282,0.382678112,35.02738902,67.65472294,98.67045493,154.2336918,193.6856358,3
14,429.216,232.095,1.803,1.849,0.441,0,0,0,0,0.589824238,0.402056307,0.71042086,0.45346399,0.454638224,0.701315888,1.288644878,1.715681615,1.951802822,1.557078487,1.058979628,1.067425259,1.106,0.912,2.906,1.683,0.893,0.753,0.734,0.513,0.508,0.667,0.561,1.011,7.381069205,4.281,4.3,0.653,0.516,0.489,1.42,0.885,1.091,0.106671233,14.811,1.267,1.856,0.199,1.213,0.441,1.4,0.40433721,0.140614516,0.702,0.607,0.001164915,0.001164915,0.500235313,0.187,0.197,0.416,0.419,0.247,0.172,7.550380228,5.174026597,2.918318516,2.149852289,0.171901793,0.176752498,0.197010363,0.270278834,0.560524305,0.171845877,8.056521658,10.50054518,16.55937337,18.90150181,21.69610639,1
15,122.191,11.107,6.039,11.001,0.793,8.467,21.067,3.222,2.152,0.627198403,1.469993698,1.833686605,1.474273883,1.236793217,1.253201954,1.195145305,0.520725749,0.419899993,0.529580738,0.877707851,0.600690722,2.146,1.771,2.125,1.744,1.767,1.28,1.632,1.404,1.821,3.002,1.661,2.463,22.25968361,3.096,5.933,0.475,0.637,0.478,1.183,1.416,0.693,0.000261885,20.296,0.967,1.45,0.492,0.819,1.113,3.121,0.346989549,0.117954678,1.082,1.189,0.001194851,0.006989058,0.058465844,0.553,0.086,1.149,0.134,0.052,0.082,10.91942942,6.444026156,2.222782365,1.123282402,0.003969196,0.004468414,0.0075783,0.020557979,1.388727484,0.300267614,8.095931779,19.97936837,27.53980244,33.8239232,44.00160405,3
